ListingKey,ListingNumber,ListingCreationDate,CreditGrade,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,GroupKey,DateCreditPulled,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,LoanKey,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,LoanOriginationDate,LoanOriginationQuarter,MemberKey,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors,LoanMonthsSinceOriginationY,LoanFirstDefaultedCycleNumberQ,bad_aux,PW,fraud,bad,indeterm,LoanOriginationYear
34D1354489785280859E146,578652,2012-04-14 05:39:18.747000000,,36,Completed,2012-07-26 00:00:00,0.28851,0.2499,0.2399,0.234,0.119,0.115,3.0,D,5.0,7,FL,Other,Not employed,9.0,True,False,,2012-04-11 06:52:37,760.0,779.0,1985-12-01 00:00:00,7.0,7.0,16.0,6,883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33934.0,0.88,4194.0,15.0,1.0,0.0,,Not employed,False,0.0,6B1E3648617191641D4F732,,,,,,,,,0,,23,63781,10000,2012-04-17,Q2 2012,0B3A35450946276237DF676,397.55,10669.17,10000.0,669.17,-26.78,0.0,0.0,0.0,0.0,1.0,0,0,0.0,161,2.0,,False,True,False,False,False,2012
0F61352976840231904FB80,533052,2011-10-16 20:06:33.797000000,,36,Completed,2013-06-04 00:00:00,0.2951,0.2599,0.2499,0.2437,0.112,0.1317,3.0,D,5.0,7,KY,Other,Employed,211.0,False,False,,2011-10-05 19:22:02,720.0,739.0,1993-12-10 00:00:00,14.0,8.0,44.0,6,111.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3068.0,0.98,10.0,40.0,0.97,1.0,0.32,"$50,000-74,999",True,4166.666667,D9BC3632889146385A8CB97,,,,,,,,,0,,29,54803,3800,2011-10-24,Q4 2011,52B133838110427001AC4D4,153.08,5085.37,3800.0,1285.37,-49.46,0.0,0.0,0.0,0.0,1.0,0,0,0.0,48,2.0,,False,True,False,False,False,2011
2EBC35024596954310A1C10,487331,2010-12-09 09:46:00.233000000,,36,Completed,2012-10-30 00:00:00,0.35858,0.322,0.312,0.1557,0.142,0.1557,2.0,E,5.0,1,FL,Professional,Employed,74.0,True,False,,2010-12-06 14:31:57,680.0,699.0,1996-10-01 00:00:00,13.0,10.0,29.0,7,405.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11847.0,0.9,1184.0,26.0,0.8,0.0,0.39,"$50,000-74,999",True,4504.166667,CE933606548984344E93142,1.0,28.0,28.0,0.0,0.0,6000.0,1521.1,58.0,0,,39,46011,7500,2010-12-16,Q4 2010,47463426452895319F0383C,327.49,11035.23,7500.0,3535.23,-109.79,0.0,0.0,0.0,0.0,1.0,0,0,0.0,96,3.0,,False,True,False,False,False,2010
300534705117226858F0631,439062,2009-12-18 13:45:45.153000000,,36,Completed,2013-01-15 00:00:00,0.26079,0.2379,0.2279,0.1223,0.1,0.1223,3.0,D,7.0,7,AL,Computer Programmer,Full-time,46.0,False,False,,2009-12-18 13:37:24,660.0,679.0,2005-01-31 00:00:00,4.0,4.0,5.0,4,176.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11874.0,0.92,846.0,5.0,1.0,0.0,,"$25,000-49,999",False,2083.333333,571C35773906986492D8C82,,,,,,,,,0,,50,40435,3000,2010-01-15,Q1 2010,F1D734237193081460D8DED,117.37,4223.04,3000.0,1223.04,-51.42,0.0,0.0,0.0,0.0,1.0,0,0,0.0,94,4.0,,False,True,False,False,False,2010
306535373864632983A6F72,551080,2012-01-12 16:11:48.840000000,,36,Current,,0.29394,0.2552,0.2452,0.2392,0.119,0.1202,3.0,D,5.0,3,MD,Skilled Labor,Employed,103.0,True,False,,2012-01-12 16:11:44,720.0,739.0,1991-01-01 00:00:00,6.0,6.0,18.0,3,60.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,1550.0,0.85,165.0,16.0,0.93,0.0,0.24,"$50,000-74,999",True,5000.0,9D8A36401955233405A1A8C,,,,,,,,,0,,26,59420,7000,2012-01-25,Q1 2012,A0CD3535955398705766CC5,280.25,6976.25,4236.45,2739.8,-107.37,0.0,0.0,0.0,0.0,1.0,0,0,0.0,97,2.0,,False,True,False,False,False,2012
107C35242759033753499C3,524323,2011-08-29 15:24:20.927000000,,36,Completed,2014-01-30 00:00:00,0.16056,0.139,0.129,0.1285,0.038,0.0905,6.0,A,9.0,1,TX,Teacher,Employed,48.0,False,False,,2011-08-29 15:24:16,720.0,739.0,1993-04-25 00:00:00,11.0,10.0,23.0,6,341.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13257.0,0.34,24726.0,21.0,0.9,0.0,0.23,"$25,000-49,999",True,3750.0,C4A23628878279889A484AF,,,,,,,,,0,,30,53005,4500,2011-09-07,Q3 2011,C0C135239421994476DB2E0,153.58,5481.67,4500.0,981.67,-70.63,0.0,0.0,0.0,0.0,1.0,0,0,0.0,78,2.0,,False,True,False,False,False,2011
08F0354470988941043223C,576640,2012-04-08 22:24:50.183000000,,36,Current,,0.33973,0.2999,0.2899,0.2766,0.149,0.1276,2.0,E,1.0,18,NJ,Other,Self-employed,30.0,False,False,,2012-03-27 21:43:02,620.0,639.0,2006-04-06 00:00:00,1.0,1.0,7.0,1,0.0,0.0,0.0,3.0,10970.0,12.0,0.0,0.0,0.0,0.0,3500.0,4.0,0.4,0.0,,"$1-24,999",False,1500.0,780C3648774925946A95C9F,1.0,35.0,35.0,0.0,0.0,5000.0,0.0,21.0,0,,23,63809,2500,2012-04-18,Q2 2012,8C9E337004758482904CED7,106.12,2349.64,1254.58,1095.06,-36.02,0.0,0.0,0.0,0.0,1.0,0,0,0.0,12,2.0,,False,True,False,False,False,2012
2C6B3491775423171F44121,472944,2010-08-24 16:51:30.693000000,,36,Completed,2011-11-08 00:00:00,0.38058,0.3435,0.3335,0.1761,0.142,0.1761,2.0,E,5.0,1,AZ,Professional,Employed,103.0,False,False,,2010-08-24 16:51:24,660.0,679.0,1998-12-01 00:00:00,4.0,4.0,10.0,3,73.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,2123.0,0.93,139.0,10.0,0.6,0.0,0.2,"$50,000-74,999",True,4333.333333,41F7359852967793788E9C1,,,,,,,,,0,,42,44339,7500,2010-09-10,Q3 2010,B3733493330045315CD62D2,336.52,9895.8,7500.0,2395.8,-68.59,0.0,0.0,0.0,0.0,1.0,0,0,0.0,235,4.0,,False,True,False,False,False,2010
44BA3509292123970CE74FF,497506,2011-03-10 20:31:52.703000000,,36,Chargedoff,2013-01-18 00:00:00,0.35643,0.3199,0.3099,0.2957,0.147,0.1487,2.0,E,5.0,1,NV,Other,Employed,15.0,True,False,,2011-03-10 20:31:43,700.0,719.0,1990-11-01 00:00:00,11.0,11.0,27.0,5,1176.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,46420.0,0.64,14504.0,25.0,1.0,2.0,0.27,"$100,000+",True,11429.583333,9CCD3614008458623E1018F,,,,,,,,,538,22.0,36,47814,7500,2011-03-18,Q1 2011,EF573510592051055362CC4,326.62,5692.54,2558.49,3134.05,-92.18,-34.0,4941.51,4941.51,0.0,1.0,0,0,0.0,80,3.0,24.0,True,True,False,False,True,2011
44DB352464754367911867C,523757,2011-08-25 11:32:36.677000000,,36,Completed,2014-01-29 00:00:00,0.202,0.1799,0.1699,0.1669,0.0595,0.1074,5.0,B,8.0,1,SC,Other,Employed,35.0,False,False,,2011-08-25 11:32:33,720.0,739.0,2001-06-04 00:00:00,5.0,4.0,7.0,4,579.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14101.0,0.53,12099.0,7.0,1.0,0.0,0.34,"$25,000-49,999",True,3133.333333,02403629197797493D372DF,,,,,,,,,0,,30,53014,13500,2011-09-07,Q3 2011,01803525023662552B5FE5E,487.99,17362.1,13500.0,3862.1,-214.7,0.0,0.0,0.0,0.0,1.0,0,0,0.0,111,2.0,,False,True,False,False,False,2011
099D35411858817066CFB2A,569328,2012-03-16 08:27:10.850000000,,36,Completed,2013-09-27 00:00:00,0.17359,0.1449,0.1349,0.1326,0.042,0.0906,5.0,B,6.0,15,WA,Police Officer/Correction Officer,Full-time,49.0,True,False,,2012-03-16 08:27:08,760.0,779.0,1995-07-31 00:00:00,12.0,8.0,42.0,7,260.0,1.0,1.0,2.0,29487.0,17.0,0.0,0.0,4041.0,0.34,3839.0,38.0,0.89,1.0,0.32,"$25,000-49,999",True,3083.333333,CDDD36451985556892EB673,1.0,35.0,35.0,0.0,0.0,15000.0,0.0,17.0,0,,24,62274,2500,2012-03-20,Q1 2012,2C2734210338535012D7535,86.04,2938.54,2500.0,438.54,-30.26,0.0,0.0,0.0,0.0,1.0,0,0,0.0,45,2.0,,False,True,False,False,False,2012
31EA3509305854739B5AD6B,495693,2011-02-25 13:46:46.853000000,,36,Completed,2013-06-12 00:00:00,0.22872,0.1949,0.1849,0.1806,0.087,0.0936,4.0,C,6.0,7,MO,Nurse (RN),Employed,456.0,True,False,,2011-02-25 13:46:38,780.0,799.0,1986-03-01 00:00:00,11.0,9.0,27.0,8,454.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,3822.0,0.51,3645.0,25.0,0.96,1.0,0.16,"$75,000-99,999",True,6500.0,E7CF36143415165312F7BF4,,,,,,,,,0,,36,47859,14584,2011-03-22,Q1 2011,C3B6350968525094732212A,538.21,18996.74,14584.06,4412.68,-215.44,0.0,0.0,0.0,0.0,0.9722,0,0,0.0,234,3.0,,False,True,False,False,False,2011
45933467644661436ED74B8,430336,2009-10-26 11:30:31.353000000,,36,Completed,2012-06-12 00:00:00,0.25886,0.236,0.226,0.1357,0.085,0.1357,4.0,C,5.0,2,FL,Other,Full-time,14.0,True,False,,2009-10-26 11:28:02,760.0,779.0,2008-02-11 00:00:00,3.0,3.0,4.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7900.0,4.0,1.0,0.0,0.3,"$25,000-49,999",True,2833.333333,B5CF3570987415810F105E7,,,,,,,,,0,,52,39259,21500,2009-11-04,Q4 2009,162B346603267298438C8EF,839.0,29339.95,21500.0,7839.95,-332.21,0.0,0.0,0.0,0.0,1.0,0,0,0.0,718,4.0,,False,True,False,False,False,2009
326835476823295343B249E,592393,2012-05-23 18:53:40.440000000,,36,Current,,0.15538,0.127,0.117,0.1166,0.033,0.0836,6.0,A,9.0,1,MN,Police Officer/Correction Officer,Employed,179.0,False,False,,2012-05-23 18:53:35,720.0,739.0,1997-06-22 00:00:00,11.0,10.0,42.0,10,216.0,1.0,3.0,0.0,0.0,10.0,1.0,0.0,5769.0,0.13,25604.0,40.0,0.8,2.0,0.13,"$75,000-99,999",True,6500.0,B61F3653007090492F7A138,,,,,,,,,0,,21,67167,7000,2012-06-01,Q2 2012,9C9E35481950704270E3033,234.85,4931.85,3758.68,1173.17,-92.37,0.0,0.0,0.0,0.0,1.0,0,0,0.0,100,2.0,,False,True,False,False,False,2012
32713505806548036C2D3D3,491750,2011-01-24 08:19:45.663000000,,36,Completed,2014-01-31 00:00:00,0.35643,0.3199,0.3099,0.2957,0.147,0.1487,2.0,E,5.0,1,GA,Retail Management,Employed,42.0,True,False,,2011-01-24 08:19:37,700.0,719.0,1999-08-12 00:00:00,10.0,9.0,22.0,5,322.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,11827.0,0.45,11929.0,19.0,0.89,1.0,0.35,"$50,000-74,999",True,4500.0,6D2E360984412182571ABE3,,,,,,,,,0,,38,46839,7500,2011-01-31,Q1 2011,8F7435059749507915F1683,326.62,11743.59,7500.0,4243.59,-128.02,0.0,0.0,0.0,0.0,1.0,0,0,0.0,79,3.0,,False,True,False,False,False,2011
45B035268098596612FD13F,528412,2011-09-20 09:08:03.377000000,,36,Completed,2012-03-02 00:00:00,0.13413,0.1129,0.1029,0.1026,0.026,0.0766,6.0,A,8.0,1,IL,Clerical,Employed,162.0,True,True,19F2338715202723004007F,2011-09-20 09:08:01,740.0,759.0,1984-08-14 00:00:00,15.0,15.0,40.0,14,774.0,0.0,0.0,1.0,110.0,0.0,0.0,0.0,54466.0,0.67,26435.0,34.0,1.0,1.0,0.33,"$50,000-74,999",True,4916.666667,A8EF3631065138536A63306,1.0,2.0,2.0,0.0,0.0,5000.0,0.0,8.0,0,,30,54114,25000,2011-09-30,Q3 2011,17CE339317107887470E7E5,821.91,25530.79,24999.64,531.15,-47.04,0.0,0.0,0.0,0.0,1.0,0,0,0.0,106,2.0,,False,True,False,False,False,2011
3C3A3503997125520E40030,489886,2011-01-05 20:39:56.670000000,,36,Completed,2013-01-03 00:00:00,0.33097,0.295,0.285,0.2778,0.108,0.1698,3.0,D,7.0,7,WA,Executive,Employed,32.0,True,False,,2011-01-05 20:39:49,680.0,699.0,1996-03-21 00:00:00,1.0,1.0,40.0,0,0.0,0.0,1.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,37.0,0.64,0.0,0.02,"$75,000-99,999",True,7916.666667,C281360768857022318B1F9,,,,,,,,,0,,38,46421,3500,2011-01-11,Q1 2011,4B123505116531168C3F7EC,147.62,5050.19,3500.0,1550.19,-52.54,0.0,0.0,0.0,0.0,1.0,0,0,0.0,20,3.0,,False,True,False,False,False,2011
45C73538911628429AAB1CD,560943,2012-02-20 16:08:45.633000000,,36,Current,,0.35797,0.3177,0.3077,0.2896,0.165,0.1246,1.0,HR,4.0,1,MA,Other,Employed,51.0,False,False,,2012-02-20 16:08:40,700.0,719.0,1997-11-10 00:00:00,6.0,5.0,20.0,3,123.0,0.0,0.0,1.0,378.0,0.0,0.0,0.0,4445.0,0.47,4955.0,17.0,0.94,0.0,10.01,"$1-24,999",True,3.833333,3C8C3642811229468CC34A6,,,,,,,,,0,,25,60951,2000,2012-02-23,Q1 2012,D75735401761443824821A7,86.85,2084.4,1117.16,967.24,-30.44,0.0,0.0,0.0,0.0,1.0,0,0,0.0,5,2.0,,False,True,False,False,False,2012
46023526553522668847025,529744,2011-09-27 07:53:17.947000000,,36,Current,,0.34621,0.3099,0.2999,0.2861,0.13,0.1561,2.0,E,4.0,3,FL,Professional,Employed,110.0,False,False,,2011-09-27 07:53:16,600.0,619.0,1975-07-01 00:00:00,6.0,6.0,13.0,6,837.0,0.0,1.0,1.0,124.0,2.0,0.0,0.0,25826.0,0.87,3524.0,12.0,0.91,0.0,,"$50,000-74,999",False,4166.666667,289B362993940493025C5A8,1.0,12.0,12.0,0.0,0.0,3200.0,2467.21,-75.0,0,,30,53864,4400,2011-09-29,Q3 2011,E45934924014592004EC23E,189.18,5486.22,3199.35,2286.87,-73.78,0.0,0.0,0.0,0.0,1.0,0,0,0.0,9,2.0,,False,True,False,False,False,2011
08C235440294295171FEB39,580701,2012-04-20 11:47:28.623000000,,36,Current,,0.35797,0.3177,0.3077,0.2896,0.165,0.1246,1.0,HR,5.0,1,TX,Attorney,Employed,7.0,False,False,,2012-04-20 11:47:23,700.0,719.0,2003-08-03 00:00:00,27.0,11.0,76.0,11,481.0,2.0,4.0,0.0,0.0,25.0,0.0,0.0,10645.0,0.96,230.0,49.0,0.93,0.0,0.2,"$75,000-99,999",True,6666.666667,CFDB3648155426226291497,,,,,,,,,0,,23,64226,4000,2012-04-25,Q2 2012,BADE3544138090656CB1396,173.71,3821.62,1984.67,1836.95,-57.83,0.0,0.0,0.0,0.0,1.0,0,0,0.0,5,2.0,,False,True,False,False,False,2012
4651348340895192624732E,459128,2010-05-19 16:16:10.840000000,,36,Completed,2013-05-17 00:00:00,0.37453,0.35,0.34,0.1399,0.18,0.1399,1.0,HR,5.0,1,MO,Tradesman - Mechanic,Full-time,238.0,True,False,,2010-04-24 07:05:45,640.0,659.0,1998-01-22 00:00:00,15.0,15.0,31.0,6,145.0,5.0,25.0,0.0,0.0,0.0,1.0,0.0,4314.0,0.76,1284.0,28.0,0.96,1.0,0.22,"$75,000-99,999",True,6250.0,7CE3358937395690295954A,1.0,12.0,12.0,0.0,0.0,4000.0,0.0,38.0,0,,45,42787,4000,2010-06-01,Q2 2010,314634014462535148F7798,176.81,6517.97,3999.99,2517.98,-71.94,0.0,0.0,0.0,0.0,1.0,0,0,0.0,71,4.0,,False,True,False,False,False,2010
